Name,Time-SOFAI-FD_11,Corr-SOFAI-FD_11,Opt-SOFAI-FD_11,Sys-SOFAI-FD_11,Planner-SOFAI-FD_11
briefcase-o15__0,90035.42494773865,0.0,-1,-1,-1
briefcase-o15__1,90031.88419342041,0.0,-1,-1,-1
briefcase-o15__10,90028.34820747375,0.0,-1,-1,-1
briefcase-o15__11,90030.93528747559,0.0,-1,-1,-1
briefcase-o15__12,90030.22408485413,0.0,-1,-1,-1
briefcase-o15__13,90026.2062549591,0.0,-1,-1,-1
briefcase-o15__14,90028.29480171204,0.0,-1,-1,-1
briefcase-o15__2,90017.54641532898,0.0,-1,-1,-1
briefcase-o15__3,90032.36055374146,0.0,-1,-1,-1
briefcase-o15__4,90017.86375045776,0.0,-1,-1,-1
briefcase-o15__5,90030.71403503418,0.0,-1,-1,-1
briefcase-o15__6,90039.20984268188,0.0,-1,-1,-1
briefcase-o15__7,90038.10000419617,0.0,-1,-1,-1
briefcase-o15__8,90026.39532089233,0.0,-1,-1,-1
briefcase-o15__9,90030.73620796204,0.0,-1,-1,-1
briefcase-o16__0,90020.22051811218,0.0,-1,-1,-1
briefcase-o16__1,90022.92776107788,0.0,-1,-1,-1
briefcase-o16__10,90035.395860672,0.0,-1,-1,-1
briefcase-o16__11,90024.60289001465,0.0,-1,-1,-1
briefcase-o16__12,90035.45928001404,0.0,-1,-1,-1
briefcase-o16__13,90039.73984718323,0.0,-1,-1,-1
briefcase-o16__14,90033.61892700195,0.0,-1,-1,-1
briefcase-o16__2,90031.31628036499,0.0,-1,-1,-1
briefcase-o16__3,90029.1678905487,0.0,-1,-1,-1
briefcase-o16__4,90029.9563407898,0.0,-1,-1,-1
briefcase-o16__5,90031.38041496277,0.0,-1,-1,-1
briefcase-o16__6,90036.56530380249,0.0,-1,-1,-1
briefcase-o16__7,90025.31862258911,0.0,-1,-1,-1
briefcase-o16__8,90035.06135940552,0.0,-1,-1,-1
briefcase-o16__9,90029.64162826538,0.0,-1,-1,-1
briefcase-o17__0,90030.60841560364,0.0,-1,-1,-1
briefcase-o17__1,90037.29104995728,0.0,-1,-1,-1
briefcase-o17__10,90029.31356430054,0.0,-1,-1,-1
briefcase-o17__11,90023.07653427124,0.0,-1,-1,-1
briefcase-o17__12,90030.98273277283,0.0,-1,-1,-1
briefcase-o17__13,90029.64043617249,0.0,-1,-1,-1
briefcase-o17__14,90026.98135375977,0.0,-1,-1,-1
briefcase-o17__15,90036.6280078888,0.0,-1,-1,-1
briefcase-o17__16,90034.96313095093,0.0,-1,-1,-1
briefcase-o17__17,90036.63277626038,0.0,-1,-1,-1
briefcase-o17__18,90026.91745758057,0.0,-1,-1,-1
briefcase-o17__19,90046.53787612915,0.0,-1,-1,-1
briefcase-o17__2,90207.38554000854,0.0,-1,-1,-1
briefcase-o17__20,90034.73973274231,0.0,-1,-1,-1
briefcase-o17__21,90029.65021133423,0.0,-1,-1,-1
briefcase-o17__22,90023.56672286987,0.0,-1,-1,-1
briefcase-o17__23,90038.31315040588,0.0,-1,-1,-1
briefcase-o17__24,90029.8547744751,0.0,-1,-1,-1
briefcase-o17__25,90025.61044692993,0.0,-1,-1,-1
briefcase-o17__26,90031.81099891663,0.0,-1,-1,-1
briefcase-o17__27,90035.06588935852,0.0,-1,-1,-1
briefcase-o17__28,90029.5729637146,0.0,-1,-1,-1
briefcase-o17__29,90028.4812450409,0.0,-1,-1,-1
briefcase-o17__3,90038.17558288574,0.0,-1,-1,-1
briefcase-o17__30,90035.35437583923,0.0,-1,-1,-1
briefcase-o17__31,90028.29456329346,0.0,-1,-1,-1
briefcase-o17__32,90029.9654006958,0.0,-1,-1,-1
briefcase-o17__33,90034.68132019043,0.0,-1,-1,-1
briefcase-o17__34,90030.70592880249,0.0,-1,-1,-1
briefcase-o17__35,90034.02638435364,0.0,-1,-1,-1
briefcase-o17__36,90025.69198608398,0.0,-1,-1,-1
briefcase-o17__4,90028.10025215149,0.0,-1,-1,-1
briefcase-o17__5,90034.87992286682,0.0,-1,-1,-1
briefcase-o17__6,90025.26903152466,0.0,-1,-1,-1
briefcase-o17__7,90031.13460540771,0.0,-1,-1,-1
briefcase-o17__8,90024.98745918274,0.0,-1,-1,-1
briefcase-o17__9,90026.71980857849,0.0,-1,-1,-1
briefcase-o20__0,90031.19349479675,0.0,-1,-1,-1
briefcase-o20__1,90030.46178817749,0.0,-1,-1,-1
briefcase-o20__2,90029.28018569946,0.0,-1,-1,-1
briefcase-o20__3,90032.98568725586,0.0,-1,-1,-1
briefcase-o20__4,90029.72078323364,0.0,-1,-1,-1
briefcase-o20__5,90031.61692619324,0.0,-1,-1,-1
briefcase-o20__6,90039.09730911255,0.0,-1,-1,-1
briefcase-o20__7,90024.40190315247,0.0,-1,-1,-1
briefcase-o20__8,90028.20944786072,0.0,-1,-1,-1
briefcase-o20__9,90032.29808807373,0.0,-1,-1,-1
briefcase-o5__0,394.7389125823975,1.0,-1,2,1
briefcase-o5__1,395.31517028808594,1.0,-1,2,1
briefcase-o5__2,206.0070037841797,1.0,-1,2,1
briefcase-o5__3,373.0661869049072,1.0,-1,2,1
briefcase-o5__4,298.0971336364746,1.0,-1,2,1
briefcase-o8__0,90019.31166648865,0.0,-1,-1,-1
briefcase-o8__1,90030.56859970093,0.0,-1,-1,-1
briefcase-o8__10,90038.6712551117,0.0,-1,-1,-1
briefcase-o8__11,90030.75861930847,0.0,-1,-1,-1
briefcase-o8__12,90033.6709022522,0.0,-1,-1,-1
briefcase-o8__13,90025.46119689941,0.0,-1,-1,-1
briefcase-o8__14,90030.96795082092,0.0,-1,-1,-1
briefcase-o8__15,77489.78400230408,1.0,-1,2,1
briefcase-o8__16,90026.9365310669,0.0,-1,-1,-1
briefcase-o8__17,90023.77581596375,0.0,-1,-1,-1
briefcase-o8__2,90029.44326400757,0.0,-1,-1,-1
briefcase-o8__3,90032.20629692078,0.0,-1,-1,-1
briefcase-o8__4,90029.85215187073,0.0,-1,-1,-1
briefcase-o8__5,90033.19549560547,0.0,-1,-1,-1
briefcase-o8__6,90023.73838424683,0.0,-1,-1,-1
briefcase-o8__7,90032.75632858276,0.0,-1,-1,-1
briefcase-o8__8,90037.68372535706,0.0,-1,-1,-1
briefcase-o8__9,90016.53289794922,0.0,-1,-1,-1
