Name,Time-SOFAI-LPG_12,Corr-SOFAI-LPG_12,Opt-SOFAI-LPG_12,Sys-SOFAI-LPG_12,Planner-SOFAI-LPG_12
briefcase-o15__0,589.7369384765625,1.0,-1,2,2
briefcase-o15__1,119.86422538757324,1.0,-1,2,2
briefcase-o15__10,515.4368877410889,1.0,-1,2,2
briefcase-o15__11,591.4511680603027,1.0,-1,2,2
briefcase-o15__12,586.144208908081,1.0,-1,2,2
briefcase-o15__13,343.64843368530273,1.0,-1,2,2
briefcase-o15__14,699.3687152862549,1.0,-1,2,2
briefcase-o15__2,341.5966033935547,1.0,-1,2,2
briefcase-o15__3,593.3318138122559,1.0,-1,2,2
briefcase-o15__4,690.3796195983887,1.0,-1,2,2
briefcase-o15__5,600.9244918823242,1.0,-1,2,2
briefcase-o15__6,697.3562240600586,1.0,-1,2,2
briefcase-o15__7,593.5893058776855,1.0,-1,2,2
briefcase-o15__8,649.4901180267334,1.0,-1,2,2
briefcase-o15__9,598.7629890441895,1.0,-1,2,2
briefcase-o16__0,325.3028392791748,1.0,-1,2,2
briefcase-o16__1,845.9923267364502,1.0,-1,2,2
briefcase-o16__10,585.8514308929443,1.0,-1,2,2
briefcase-o16__11,592.5126075744629,1.0,-1,2,2
briefcase-o16__12,585.7748985290527,1.0,-1,2,2
briefcase-o16__13,344.6471691131592,1.0,-1,2,2
briefcase-o16__14,333.5223197937012,1.0,-1,2,2
briefcase-o16__2,593.6169624328613,1.0,-1,2,2
briefcase-o16__3,594.6919918060303,1.0,-1,2,2
briefcase-o16__4,346.36569023132324,1.0,-1,2,2
briefcase-o16__5,599.7569561004639,1.0,-1,2,2
briefcase-o16__6,118.32451820373537,1.0,-1,2,2
briefcase-o16__7,598.5391139984131,1.0,-1,2,2
briefcase-o16__8,348.54817390441895,1.0,-1,2,2
briefcase-o16__9,758.5811614990234,1.0,-1,2,2
briefcase-o17__0,591.3293361663818,1.0,-1,2,2
briefcase-o17__1,592.292308807373,1.0,-1,2,2
briefcase-o17__10,590.4717445373535,1.0,-1,2,2
briefcase-o17__11,829.3130397796631,1.0,-1,2,2
briefcase-o17__12,593.2848453521729,1.0,-1,2,2
briefcase-o17__13,842.2472476959229,1.0,-1,2,2
briefcase-o17__14,1091.010332107544,1.0,-1,2,2
briefcase-o17__15,911.6213321685792,1.0,-1,2,2
briefcase-o17__16,590.0483131408691,1.0,-1,2,2
briefcase-o17__17,582.8359127044678,1.0,-1,2,2
briefcase-o17__18,332.5345516204834,1.0,-1,2,2
briefcase-o17__19,597.9313850402832,1.0,-1,2,2
briefcase-o17__2,592.6694869995117,1.0,-1,2,2
briefcase-o17__20,579.7274112701416,1.0,-1,2,2
briefcase-o17__21,333.54926109313965,1.0,-1,2,2
briefcase-o17__22,643.9597606658936,1.0,-1,2,2
briefcase-o17__23,591.8598175048828,1.0,-1,2,2
briefcase-o17__24,845.2308177947998,1.0,-1,2,2
briefcase-o17__25,598.6080169677734,1.0,-1,2,2
briefcase-o17__26,599.0777015686035,1.0,-1,2,2
briefcase-o17__27,582.988977432251,1.0,-1,2,2
briefcase-o17__28,597.1293449401855,1.0,-1,2,2
briefcase-o17__29,848.83713722229,1.0,-1,2,2
briefcase-o17__3,598.1078147888184,1.0,-1,2,2
briefcase-o17__30,585.9744548797607,1.0,-1,2,2
briefcase-o17__31,845.1981544494629,1.0,-1,2,2
briefcase-o17__32,588.7129306793213,1.0,-1,2,2
briefcase-o17__33,597.0866680145264,1.0,-1,2,2
briefcase-o17__34,599.0476608276367,1.0,-1,2,2
briefcase-o17__35,589.9617671966553,1.0,-1,2,2
briefcase-o17__36,601.872444152832,1.0,-1,2,2
briefcase-o17__4,596.9619750976562,1.0,-1,2,2
briefcase-o17__5,642.9932117462158,1.0,-1,2,2
briefcase-o17__6,583.5976600646973,1.0,-1,2,2
briefcase-o17__7,589.7116661071777,1.0,-1,2,2
briefcase-o17__8,846.2865352630615,1.0,-1,2,2
briefcase-o17__9,849.5783805847168,1.0,-1,2,2
briefcase-o20__0,847.3184108734131,1.0,-1,2,2
briefcase-o20__1,822.5369453430176,1.0,-1,2,2
briefcase-o20__2,916.5804386138916,1.0,-1,2,2
briefcase-o20__3,915.9705638885498,1.0,-1,2,2
briefcase-o20__4,849.3304252624512,1.0,-1,2,2
briefcase-o20__5,845.4627990722656,1.0,-1,2,2
briefcase-o20__6,598.6795425415039,1.0,-1,2,2
briefcase-o20__7,917.0811176300048,1.0,-1,2,2
briefcase-o20__8,846.0688591003418,1.0,-1,2,2
briefcase-o20__9,843.4677124023438,1.0,-1,2,2
briefcase-o5__0,337.3456001281738,1.0,-1,2,2
briefcase-o5__1,342.4856662750244,1.0,-1,2,2
briefcase-o5__2,337.9988670349121,1.0,-1,2,2
briefcase-o5__3,345.28064727783203,1.0,-1,2,2
briefcase-o5__4,105.66568374633788,1.0,-1,2,2
briefcase-o8__0,338.9437198638916,1.0,-1,2,2
briefcase-o8__1,336.5030288696289,1.0,-1,2,2
briefcase-o8__10,341.0830497741699,1.0,-1,2,2
briefcase-o8__11,339.1838073730469,1.0,-1,2,2
briefcase-o8__12,382.1783065795898,1.0,-1,2,2
briefcase-o8__13,345.43800354003906,1.0,-1,2,2
briefcase-o8__14,104.69532012939452,1.0,-1,2,2
briefcase-o8__15,98.19984436035156,1.0,-1,2,2
briefcase-o8__16,106.536865234375,1.0,-1,2,2
briefcase-o8__17,1225.517511367798,1.0,-1,2,2
briefcase-o8__2,105.0872802734375,1.0,-1,2,2
briefcase-o8__3,335.62636375427246,1.0,-1,2,2
briefcase-o8__4,337.782621383667,1.0,-1,2,2
briefcase-o8__5,343.4746265411377,1.0,-1,2,2
briefcase-o8__6,575.139045715332,1.0,-1,2,2
briefcase-o8__7,107.84125328063963,1.0,-1,2,2
briefcase-o8__8,329.9741744995117,1.0,-1,2,2
briefcase-o8__9,343.83273124694824,1.0,-1,2,2
